ID,Project,Package,Class,Method,NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CLNAMM_method,CINT_method,MeMCL_method,CDISP_method,NOII_class,NOAM_class,NOCS_class,NOM_class,NMO_class,ATFD_class,FANOUT_class,NOMNAMM_class,NOA_class,NIM_class,DIT_class,LOC_class,LOCNAMM_class,CFNAMM_class,TCC_class,NOPA_class,CBO_class,RFC_class,NOC_class,WMC_class,LCOM5_class,WOC_class,WMCNAMM_class,AMW_class,AMWNAMM_class,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,Prova
185,weka1,it.unimib.disco.essere.WekaNose.exception,DFCM4JException,DFCM4JException(java.lang.Exception),1,1,0,0,1,1,6,1,0,1,0,4,1,0,0,3,0,0,0,0,0,1,0,3,1,0,0,2,4,14,3,32,27,0,0,0,0,3,0,3,1.25,0.6666666667,2,1,1,3,6,0,79,7,TRUE
74,weka1,it.unimib.disco.essere.WekaNose.dfcm4j,WorkspaceHandler,WorkspaceHandler(java.lang.String),1,1,0,0,1,1,6,1,0,1,0,4,1,0,0,3,0,0,0,0,0,1,0,9,0,0,0,8,3,0,1,74,69,0,0.4761904762,0,0,9,0,13,0.6666666667,0.875,12,1.4444444444,1.5,7,43,0,799,55,FALSE
10,weka1,it.unimib.disco.essere.WekaNose.gui,HomePage,main(String[]),1,0,0,0,0,3,12,1,0,1,0,0,0,1,2,0,0,1,0,1,0,0,4,4,0,0,4,4,1,0,1,89,89,26,0,0,0,8,0,5,1,1,5,1.25,1.25,12,10,0,254,10,TRUE
128,weka1,it.unimib.disco.essere.WekaNose.gui.dataset.creation,it.unimib.disco.essere.WekaNose.gui.dataset.creation.DFCM4JForm$7,keyReleased(java.awt.event.KeyEvent),1,0,2,1,0,5,13,3,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,3,2,15,15,0,1,0,1,1,?,3,0,?,3,3,3,23,11,0,797,11,FALSE
316,weka2,it.unimib.disco.essere.WekaNose.dfcm4j,DatasetRow,"DatasetRow(java.lang.String,java.lang.String,int,java.util.Hashtable,java.lang.String,java.util.Hashtable)",6,1,0,0,1,1,11,1,0,6,0,12,1,0,0,6,0,0,0,0,0,0,0,4,1,0,0,4,11,0,1,127,127,0,1,3,0,4,0,15,0.9090909091,0.5714285714,15,3.75,3.75,7,43,0,799,55,TRUE
266,weka2,it.unimib.disco.essere.WekaNose.dfcm4j,Condition,"Condition(java.lang.String,java.lang.String,int,int,java.lang.String,java.lang.NumberFormatException)",5,2,0,0,2,2,21,4,0,6,0,12,1,1,2,7,0,1,0,1,0,10,0,13,1,0,1,3,7,0,1,117,61,70,0.2727272727,2,1,14,0,18,0.880952381,0.2,6,1.3846153846,2,7,43,0,799,55,TRUE
425,weka2,it.unimib.disco.essere.WekaNose.outline,MLAHandler,"runExperiment(boolean,java.lang.String,int,int,java.lang.String,it.unimib.disco.essere.core.InputParser,java.lang.String,java.lang.Exception)",5,1,1,1,1,2,22,3,0,8,0,10,1,1,4,2,0,2,0,0.5,0,0,0,6,0,1,1,6,3,0,1,88,88,60,1,0,1,8,0,13,0.8,1,13,2.1666666667,2.1666666667,1,6,0,88,6,TRUE
52,weka1,it.unimib.disco.essere.WekaNose.dfcm4j,Condition,"Condition(java.lang.String,java.lang.String,int,java.lang.String,int,java.lang.NumberFormatException)",5,2,0,0,2,2,21,4,0,6,0,12,1,1,2,7,0,1,0,1,0,10,0,13,1,0,1,3,7,0,1,117,61,70,0.2727272727,2,1,14,0,18,0.880952381,0.2,6,1.3846153846,2,7,43,0,799,55,FALSE
102,weka1,it.unimib.disco.essere.WekaNose.dfcm4j,DatasetRow,"DatasetRow(java.util.Hashtable,int,java.util.Hashtable,java.lang.String,java.lang.String,java.lang.String)",6,1,0,0,1,1,11,1,0,6,0,12,1,0,0,6,0,0,0,0,0,0,0,4,1,0,0,4,11,0,1,127,127,0,1,3,0,4,0,15,0.9090909091,0.5714285714,15,3.75,3.75,7,43,0,799,55,TRUE
137,weka1,it.unimib.disco.essere.WekaNose.gui.dataset.creation,ConditionForm,"addNextCondition(int,java.lang.String,java.io.StringWriter,java.lang.String,java.lang.String,int,it.unimib.disco.essere.WekaNose.dfcm4j.Condition,it.unimib.disco.essere.WekaNose.gui.ErrorWindows,it.unimib.disco.essere.WekaNose.exception.NotValidConditionException)",5,1,0,0,1,2,10,2,0,9,0,9,1,3,6,1,0,3,0,1,0,0,6,4,0,0,6,4,4,0,1,264,264,34,0,0,4,10,0,5,1.0833333333,1,5,1.25,1.25,23,11,0,797,11,TRUE
365,weka2,it.unimib.disco.essere.WekaNose.gui.dataset.creation,it.unimib.disco.essere.WekaNose.gui.dataset.creation.DatasetInfo$1,"run(it.unimib.disco.essere.WekaNose.gui.dataset.creation.DatasetInfo,java.lang.Exception)",0,0,0,0,0,3,7,2,0,2,0,1,0,1,2,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,9,9,4,1,0,1,2,?,2,0,?,2,2,2,23,11,0,797,11,TRUE
302,weka2,it.unimib.disco.essere.WekaNose.dfcm4j,WorkspaceHandler,getProjectsCreated(),0,3,0,0,4,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,9,0,0,0,8,3,0,1,74,69,0,0.4761904762,0,0,9,0,13,0.6666666667,0.875,12,1.4444444444,1.5,7,43,0,799,55,TRUE
244,weka2,it.unimib.disco.essere.WekaNose.gui,FinalWindows,main(String[]),1,0,0,0,0,3,12,1,0,1,0,0,0,1,2,0,0,1,0,1,0,0,3,3,0,2,4,3,4,0,1,91,91,20,1,0,1,8,0,3,1.125,1,3,1,1,12,10,0,254,10,FALSE
230,weka2,it.unimib.disco.essere.WekaNose.gui,HomePage,main(String[]),1,0,0,0,0,3,12,1,0,1,0,0,0,1,2,0,0,1,0,1,0,0,4,4,0,0,4,4,1,0,1,89,89,26,0,0,0,8,0,5,1,1,5,1.25,1.25,12,10,0,254,10,TRUE
324,weka2,it.unimib.disco.essere.WekaNose.gui.dataset.creation,DFCM4JForm,"updateArgs(java.lang.String,java.lang.String)",2,1,0,0,1,2,6,2,0,2,0,3,1,0,0,1,0,0,0,0,0,0,9,4,0,0,5,4,8,0,1,382,382,34,0,0,1,9,0,6,1.1666666667,1,6,1.5,1.5,23,11,0,797,11,FALSE
307,weka2,it.unimib.disco.essere.WekaNose.dfcm4j,DatasetCreator,"genereateSQLite(java.lang.String,java.lang.String,java.lang.Exception,java.lang.String)",2,2,1,1,2,2,14,2,0,4,0,6,1,3,10,1,0,5,0,0.6,0,0,0,8,0,1,7,8,4,0,1,135,135,218,0.380952381,0,7,23,0,15,0.8214285714,1,15,1.875,1.875,7,43,0,799,55,TRUE
