2, ErrorWindows, NOMNAMM, 3.0, 1, 
2, ErrorWindows, NOM, 3.0, 1, 
2, ErrorWindows, LOC, 74.0, 1, 
2, ErrorWindows, WMC, 3.0, 1, 
2, ErrorWindows, NOA, 3.0, 1, 
2, ErrorWindows, WMCNAMM, 3.0, 1, 
2, ErrorWindows, AMW, 1.0, 1, 
2, ErrorWindows, LOCNAMM, 74.0, 1, 
2, ErrorWindows, NOAM, 0.0, 1, 
2, ErrorWindows, ATFD, 0.0, 1, 
2, ErrorWindows, DIT, 1.0, 1, 
2, ErrorWindows, NOC, 0.0, 1, 
2, ErrorWindows, CBO, 0.0, 1, 
2, ErrorWindows, FANOUT, 2.0, 1, 
2, ErrorWindows, NMO, 0.0, 1, 
2, ErrorWindows, WOC, 1.0, 1, 
2, ErrorWindows, NOII, 0.0, 1, 
2, ErrorWindows, RFC, 5.0, 1, 
2, ErrorWindows, CFNAMM, 12.0, 1, 
2, ErrorWindows, LCOM5, 1.0, 1, 
2, ErrorWindows, NOPA, 0.0, 1, 
2, ErrorWindows, TCC, 1.0, 1, 
2, ErrorWindows, AMWNAMM, 1.0, 1, 
2, ErrorWindows, NIM, 0.0, 1, 
2, ErrorWindows, NOCS, 2.0, 1, 
6, HomePage, NOMNAMM, 4.0, 1, 
6, HomePage, NOM, 4.0, 1, 
6, HomePage, LOC, 89.0, 1, 
6, HomePage, WMC, 5.0, 1, 
6, HomePage, NOA, 1.0, 1, 
6, HomePage, WMCNAMM, 5.0, 1, 
6, HomePage, AMW, 1.25, 1, 
6, HomePage, LOCNAMM, 89.0, 1, 
6, HomePage, NOAM, 0.0, 1, 
6, HomePage, ATFD, 0.0, 1, 
6, HomePage, DIT, 1.0, 1, 
6, HomePage, NOC, 0.0, 1, 
6, HomePage, CBO, 0.0, 1, 
6, HomePage, FANOUT, 4.0, 1, 
6, HomePage, NMO, 0.0, 1, 
6, HomePage, WOC, 1.0, 1, 
6, HomePage, NOII, 0.0, 1, 
6, HomePage, RFC, 8.0, 1, 
6, HomePage, CFNAMM, 26.0, 1, 
6, HomePage, LCOM5, 1.0, 1, 
6, HomePage, NOPA, 0.0, 1, 
6, HomePage, TCC, 0.0, 1, 
6, HomePage, AMWNAMM, 1.25, 1, 
6, HomePage, NIM, 0.0, 1, 
6, HomePage, NOCS, 4.0, 1, 
11, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, NOMNAMM, 1.0, 1, 
11, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, NOM, 1.0, 1, 
11, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, LOC, 10.0, 1, 
11, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, WMC, 2.0, 1, 
11, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, NOA, 0.0, 1, 
11, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, WMCNAMM, 2.0, 1, 
11, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, AMW, 2.0, 1, 
11, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, LOCNAMM, 10.0, 1, 
11, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, NOAM, 0.0, 1, 
11, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, ATFD, 1.0, 1, 
11, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, DIT, 1.0, 1, 
11, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, CBO, 1.0, 1, 
11, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, FANOUT, 1.0, 1, 
11, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, NMO, 0.0, 1, 
11, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, NOII, 1.0, 1, 
11, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, RFC, 2.0, 1, 
11, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, CFNAMM, 4.0, 1, 
11, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, LCOM5, 0.0, 1, 
11, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, NOPA, 0.0, 1, 
11, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, TCC, 1.0, 1, 
11, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, AMWNAMM, 2.0, 1, 
11, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, NIM, 0.0, 1, 
11, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, NOCS, 0.0, 1, 
14, it.unimib.disco.essere.WekaNose.gui.HomePage$1, NOMNAMM, 1.0, 1, 
14, it.unimib.disco.essere.WekaNose.gui.HomePage$1, NOM, 1.0, 1, 
14, it.unimib.disco.essere.WekaNose.gui.HomePage$1, LOC, 5.0, 1, 
14, it.unimib.disco.essere.WekaNose.gui.HomePage$1, WMC, 1.0, 1, 
14, it.unimib.disco.essere.WekaNose.gui.HomePage$1, NOA, 0.0, 1, 
