1, it.unimib.disco.essere.WekaNose.gui, NOMNAMM, 10.0, 0, 
1, it.unimib.disco.essere.WekaNose.gui, NOM, 10.0, 0, 
1, it.unimib.disco.essere.WekaNose.gui, LOC, 254.0, 0, 
1, it.unimib.disco.essere.WekaNose.gui, NOI, 0.0, 0, 
1, it.unimib.disco.essere.WekaNose.gui, NOCS, 12.0, 0, 
42, it.unimib.disco.essere.WekaNose.dfcm4j, NOMNAMM, 43.0, 0, 
42, it.unimib.disco.essere.WekaNose.dfcm4j, NOM, 55.0, 0, 
42, it.unimib.disco.essere.WekaNose.dfcm4j, LOC, 799.0, 0, 
42, it.unimib.disco.essere.WekaNose.dfcm4j, NOI, 0.0, 0, 
42, it.unimib.disco.essere.WekaNose.dfcm4j, NOCS, 7.0, 0, 
105, it.unimib.disco.essere.WekaNose.gui.dataset.creation, NOMNAMM, 11.0, 0, 
105, it.unimib.disco.essere.WekaNose.gui.dataset.creation, NOM, 11.0, 0, 
105, it.unimib.disco.essere.WekaNose.gui.dataset.creation, LOC, 797.0, 0, 
105, it.unimib.disco.essere.WekaNose.gui.dataset.creation, NOI, 0.0, 0, 
105, it.unimib.disco.essere.WekaNose.gui.dataset.creation, NOCS, 23.0, 0, 
169, it.unimib.disco.essere.WekaNose.outline, NOMNAMM, 6.0, 0, 
169, it.unimib.disco.essere.WekaNose.outline, NOM, 6.0, 0, 
169, it.unimib.disco.essere.WekaNose.outline, LOC, 88.0, 0, 
169, it.unimib.disco.essere.WekaNose.outline, NOI, 0.0, 0, 
169, it.unimib.disco.essere.WekaNose.outline, NOCS, 1.0, 0, 
177, it.unimib.disco.essere.WekaNose.exception, NOMNAMM, 6.0, 0, 
177, it.unimib.disco.essere.WekaNose.exception, NOM, 7.0, 0, 
177, it.unimib.disco.essere.WekaNose.exception, LOC, 79.0, 0, 
177, it.unimib.disco.essere.WekaNose.exception, NOI, 0.0, 0, 
177, it.unimib.disco.essere.WekaNose.exception, NOCS, 3.0, 0, 
188, it.unimib.disco.essere.WekaNose.gui.machine.learning.approach, NOMNAMM, 4.0, 0, 
188, it.unimib.disco.essere.WekaNose.gui.machine.learning.approach, NOM, 4.0, 0, 
188, it.unimib.disco.essere.WekaNose.gui.machine.learning.approach, LOC, 388.0, 0, 
188, it.unimib.disco.essere.WekaNose.gui.machine.learning.approach, NOI, 0.0, 0, 
188, it.unimib.disco.essere.WekaNose.gui.machine.learning.approach, NOCS, 10.0, 0, 
