ID,Project,Package,Class,NOII_class,NOAM_class,NOCS_class,NOM_class,NMO_class,ATFD_class,FANOUT_class,NOMNAMM_class,NOA_class,NIM_class,DIT_class,LOC_class,LOCNAMM_class,CFNAMM_class,TCC_class,NOPA_class,CBO_class,RFC_class,NOC_class,WMC_class,LCOM5_class,WOC_class,WMCNAMM_class,AMW_class,AMWNAMM_class,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,TestClass
14892,freemind,freemind.modes.mindmapmode.dialog,StylePatternFram,2.0,7.0,6.0,18.0,0.0,18.0,23.0,11.0,71.0,522.0,5.0,614.0,357.0,847.0,0.178571428571429,0.0,22.0,55.0,0.0,38.0,0.940347970173985,0.777777777777778,22.0,2.11111111111111,2.0,6.0,11.0,0.0,614.0,18.0,true
15512,freemind,plugins.collaboration.jabber.vie,MapSharingWizardVie,0.0,0.0,0.0,29.0,0.0,0.0,1.0,29.0,36.0,534.0,6.0,544.0,544.0,328.0,0.0,0.0,1.0,30.0,0.0,29.0,0.949404761904762,1.0,29.0,1.0,1.0,2.0,33.0,0.0,730.0,33.0,false
10269,freemind,freemind.modes.mindmapmod,MindMapMapMode,0.0,1.0,7.0,26.0,9.0,7.0,22.0,25.0,7.0,57.0,3.0,627.0,622.0,1941.0,0.00476190476190476,3.0,21.0,115.0,0.0,69.0,0.988571428571429,0.826086956521739,68.0,2.65384615384615,2.72,38.0,198.0,0.0,4223.0,240.0,true
8417,freemind,freemind.controlle,StructuredMenuHolder.SeparatorHolde,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,78.0,182.0,2.0,3615.0,233.0,false
12001,freemind,freemind.extension,MindMapHoo,0.0,4.0,1.0,9.0,?,0.0,0.0,5.0,0.0,?,?,60.0,45.0,0.0,0.0,0.0,1.0,9.0,0.0,9.0,0.0,0.0,5.0,1.0,1.0,18.0,108.0,8.0,1339.0,136.0,true
9605,freemind,accessories.plugin,accessories.plugins.FormularEditor.ChoiceEntity$,1.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,5.0,5.0,4.0,1.0,0.0,4.0,4.0,?,1.0,0.0,?,1.0,1.0,1.0,63.0,151.0,0.0,3705.0,164.0,false
15841,jasml,com.jasml.helpe,Uti,0.0,0.0,0.0,24.0,0.0,22.0,0.0,24.0,2.0,0.0,1.0,669.0,669.0,0.0,0.0,2.0,1.0,24.0,0.0,251.0,1.0,0.923076923076923,251.0,10.4583333333333,10.4583333333333,5.0,33.0,0.0,943.0,34.0,true
15808,jasml,com.jasml.decompile,JavaClassParse,0.0,0.0,0.0,21.0,0.0,44.0,31.0,21.0,17.0,0.0,1.0,569.0,569.0,764.0,1.0,0.0,35.0,53.0,0.0,91.0,0.911764705882353,1.0,91.0,4.33333333333333,4.33333333333333,3.0,54.0,0.0,1422.0,54.0,false
13198,freemind,freemind.mode,ControllerAdapte,1.0,14.0,7.0,99.0,?,18.0,29.0,85.0,10.0,?,1.0,1186.0,1081.0,13341.0,0.0139556165637154,0.0,29.0,216.0,2.0,191.0,0.976530612244898,?,173.0,1.92929292929293,2.03529411764706,34.0,523.0,11.0,6037.0,728.0,true
10598,freemind,freemind.view.mindmapvie,MapVie,2.0,12.0,6.0,68.0,2.0,14.0,20.0,56.0,31.0,520.0,5.0,1386.0,1251.0,9012.0,0.0573294629898403,1.0,21.0,148.0,0.0,232.0,0.979778526721232,0.717391304347826,206.0,3.41176470588235,3.67857142857143,59.0,322.0,2.0,6298.0,410.0,false
15993,jFin,org.jfin.dat,Teno,0.0,4.0,0.0,8.0,0.0,0.0,0.0,4.0,8.0,0.0,1.0,151.0,113.0,0.0,0.6,0.0,0.0,8.0,0.0,16.0,0.928571428571429,0.428571428571429,12.0,2.0,3.0,10.0,60.0,1.0,1447.0,77.0,true
16056,jFin,org.jfin.date.holiday.financialcalendarimp,HolidayCalendarFactoryFinancialCalendarImp,0.0,4.0,0.0,8.0,0.0,0.0,4.0,4.0,4.0,7.0,2.0,108.0,70.0,114.0,0.428571428571429,2.0,7.0,25.0,0.0,12.0,0.892857142857143,0.4,8.0,1.5,2.0,6.0,33.0,0.0,790.0,64.0,false
15887,jFin,org.jfin.date.daycount.defaultimp,AFBActualActua,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,4.0,2.0,77.0,77.0,5.0,0.0,0.0,2.0,10.0,0.0,18.0,1.0,1.0,18.0,9.0,9.0,11.0,35.0,0.0,809.0,37.0,true
15690,jasml,com.jasml.compile,GrammerExceptio,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,15.0,4.0,18.0,18.0,24.0,1.0,0.0,1.0,9.0,0.0,4.0,0.0,1.0,4.0,1.0,1.0,8.0,97.0,1.0,2639.0,106.0,false
15617,jasml,com.jasml.classe,Constant_Fieldre,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,14.0,14.0,5.0,1.0,2.0,2.0,3.0,0.0,2.0,1.0,0.5,2.0,1.0,1.0,32.0,40.0,0.0,1690.0,42.0,true
15839,jasml,com.jasml.helpe,OpcodeInf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,30.0,30.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,33.0,0.0,943.0,34.0,false
15654,jasml,com.jasml.compile,SourceCodeParse,1.0,0.0,2.0,29.0,0.0,106.0,25.0,29.0,4.0,0.0,1.0,1371.0,1371.0,4344.0,0.0,0.0,27.0,87.0,0.0,328.0,0.723214285714286,1.0,328.0,11.3103448275862,11.3103448275862,8.0,97.0,1.0,2639.0,106.0,true
15629,jasml,com.jasml.classe,Constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,0.0,1.0,1205.0,1205.0,0.0,1.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,40.0,0.0,1690.0,42.0,false
16237,jFin,org.jfin.commo,Iso3166Countr,0.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,10.0,?,533.0,506.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,4.0,34.0,0.0,1229.0,42.0,true
15969,jFin,org.jfin.dat,ScheduleGenerato,0.0,0.0,0.0,18.0,0.0,13.0,5.0,18.0,1.0,0.0,1.0,538.0,538.0,104.0,0.0,0.0,6.0,31.0,0.0,45.0,1.0,1.0,45.0,2.5,2.5,10.0,60.0,1.0,1447.0,77.0,false
