8331, MenuBar, LOC, 392.0, 8330, 
8331, MenuBar, NOMNAMM, 12.0, 8330, 
8331, MenuBar, NOM, 14.0, 8330, 
8331, MenuBar, WMCNAMM, 27.0, 8330, 
8331, MenuBar, WMC, 29.0, 8330, 
8331, MenuBar, NOA, 24.0, 8330, 
8331, MenuBar, LOCNAMM, 381.0, 8330, 
8331, MenuBar, AMWNAMM, 2.25, 8330, 
8331, MenuBar, RFC, 41.0, 8330, 
8331, MenuBar, NOII, 0.0, 8330, 
8331, MenuBar, AMW, 2.07142857142857, 8330, 
8331, MenuBar, TCC, 0.333333333333333, 8330, 
8331, MenuBar, ATFD, 29.0, 8330, 
8331, MenuBar, FANOUT, 12.0, 8330, 
8331, MenuBar, NOCS, 3.0, 8330, 
8331, MenuBar, NIM, 536.0, 8330, 
8331, MenuBar, LCOM5, 0.92948717948718, 8330, 
8331, MenuBar, NOAM, 2.0, 8330, 
8331, MenuBar, CBO, 11.0, 8330, 
8331, MenuBar, WOC, 0.176470588235294, 8330, 
8331, MenuBar, DIT, 5.0, 8330, 
8331, MenuBar, NOPA, 13.0, 8330, 
8331, MenuBar, NOC, 0.0, 8330, 
8331, MenuBar, CFNAMM, 870.0, 8330, 
8331, MenuBar, NMO, 0.0, 8330, 
8346, MenuBar.MapsMenuActionListener, LOC, 9.0, 8330, 
8346, MenuBar.MapsMenuActionListener, NOMNAMM, 1.0, 8330, 
8346, MenuBar.MapsMenuActionListener, NOM, 1.0, 8330, 
8346, MenuBar.MapsMenuActionListener, WMCNAMM, 1.0, 8330, 
8346, MenuBar.MapsMenuActionListener, WMC, 1.0, 8330, 
8346, MenuBar.MapsMenuActionListener, NOA, 0.0, 8330, 
8346, MenuBar.MapsMenuActionListener, LOCNAMM, 9.0, 8330, 
8346, MenuBar.MapsMenuActionListener, AMWNAMM, 1.0, 8330, 
8346, MenuBar.MapsMenuActionListener, RFC, 2.0, 8330, 
8346, MenuBar.MapsMenuActionListener, NOII, 1.0, 8330, 
8346, MenuBar.MapsMenuActionListener, AMW, 1.0, 8330, 
8346, MenuBar.MapsMenuActionListener, TCC, 1.0, 8330, 
8346, MenuBar.MapsMenuActionListener, ATFD, 0.0, 8330, 
8346, MenuBar.MapsMenuActionListener, FANOUT, 1.0, 8330, 
8346, MenuBar.MapsMenuActionListener, NOCS, 1.0, 8330, 
8346, MenuBar.MapsMenuActionListener, NIM, 0.0, 8330, 
8346, MenuBar.MapsMenuActionListener, LCOM5, 0.0, 8330, 
8346, MenuBar.MapsMenuActionListener, NOAM, 0.0, 8330, 
8346, MenuBar.MapsMenuActionListener, CBO, 0.0, 8330, 
8346, MenuBar.MapsMenuActionListener, WOC, 1.0, 8330, 
8346, MenuBar.MapsMenuActionListener, DIT, 1.0, 8330, 
8346, MenuBar.MapsMenuActionListener, NOPA, 0.0, 8330, 
8346, MenuBar.MapsMenuActionListener, NOC, 0.0, 8330, 
8346, MenuBar.MapsMenuActionListener, CFNAMM, 4.0, 8330, 
8346, MenuBar.MapsMenuActionListener, NMO, 0.0, 8330, 
8349, freemind.controller.MenuBar.MapsMenuActionListener$1, LOC, 5.0, 8330, 
8349, freemind.controller.MenuBar.MapsMenuActionListener$1, NOMNAMM, 1.0, 8330, 
8349, freemind.controller.MenuBar.MapsMenuActionListener$1, NOM, 1.0, 8330, 
8349, freemind.controller.MenuBar.MapsMenuActionListener$1, WMCNAMM, 1.0, 8330, 
8349, freemind.controller.MenuBar.MapsMenuActionListener$1, WMC, 1.0, 8330, 
8349, freemind.controller.MenuBar.MapsMenuActionListener$1, NOA, 0.0, 8330, 
8349, freemind.controller.MenuBar.MapsMenuActionListener$1, LOCNAMM, 5.0, 8330, 
8349, freemind.controller.MenuBar.MapsMenuActionListener$1, AMWNAMM, 1.0, 8330, 
8349, freemind.controller.MenuBar.MapsMenuActionListener$1, RFC, 3.0, 8330, 
8349, freemind.controller.MenuBar.MapsMenuActionListener$1, NOII, 1.0, 8330, 
8349, freemind.controller.MenuBar.MapsMenuActionListener$1, AMW, 1.0, 8330, 
8349, freemind.controller.MenuBar.MapsMenuActionListener$1, TCC, 1.0, 8330, 
8349, freemind.controller.MenuBar.MapsMenuActionListener$1, ATFD, 2.0, 8330, 
8349, freemind.controller.MenuBar.MapsMenuActionListener$1, FANOUT, 2.0, 8330, 
8349, freemind.controller.MenuBar.MapsMenuActionListener$1, NOCS, 0.0, 8330, 
8349, freemind.controller.MenuBar.MapsMenuActionListener$1, NIM, 0.0, 8330, 
8349, freemind.controller.MenuBar.MapsMenuActionListener$1, LCOM5, 0.0, 8330, 
8349, freemind.controller.MenuBar.MapsMenuActionListener$1, NOAM, 0.0, 8330, 
8349, freemind.controller.MenuBar.MapsMenuActionListener$1, CBO, 4.0, 8330, 
8349, freemind.controller.MenuBar.MapsMenuActionListener$1, DIT, 1.0, 8330, 
8349, freemind.controller.MenuBar.MapsMenuActionListener$1, NOPA, 0.0, 8330, 
8349, freemind.controller.MenuBar.MapsMenuActionListener$1, CFNAMM, 4.0, 8330, 
8349, freemind.controller.MenuBar.MapsMenuActionListener$1, NMO, 0.0, 8330, 
8352, MenuBar.LastOpenedActionListener, LOC, 12.0, 8330, 
8352, MenuBar.LastOpenedActionListener, NOMNAMM, 1.0, 8330, 
8352, MenuBar.LastOpenedActionListener, NOM, 1.0, 8330, 
8352, MenuBar.LastOpenedActionListener, WMCNAMM, 2.0, 8330, 
8352, MenuBar.LastOpenedActionListener, WMC, 2.0, 8330, 
8352, MenuBar.LastOpenedActionListener, NOA, 0.0, 8330, 
8352, MenuBar.LastOpenedActionListener, LOCNAMM, 12.0, 8330, 
8352, MenuBar.LastOpenedActionListener, AMWNAMM, 2.0, 8330, 
8352, MenuBar.LastOpenedActionListener, RFC, 6.0, 8330, 
8352, MenuBar.LastOpenedActionListener, NOII, 1.0, 8330, 
8352, MenuBar.LastOpenedActionListener, AMW, 2.0, 8330, 
8352, MenuBar.LastOpenedActionListener, TCC, 1.0, 8330, 
8352, MenuBar.LastOpenedActionListener, ATFD, 3.0, 8330, 
