8330, freemind.controller, LOC, 3615.0, 0, 
8330, freemind.controller, NOMNAMM, 182.0, 0, 
8330, freemind.controller, NOM, 233.0, 0, 
8330, freemind.controller, NOCS, 78.0, 0, 
8330, freemind.controller, NOI, 2.0, 0, 
8818, freemind.modes.mindmapmode.actions, LOC, 5031.0, 0, 
8818, freemind.modes.mindmapmode.actions, NOMNAMM, 380.0, 0, 
8818, freemind.modes.mindmapmode.actions, NOM, 435.0, 0, 
8818, freemind.modes.mindmapmode.actions, NOCS, 74.0, 0, 
8818, freemind.modes.mindmapmode.actions, NOI, 4.0, 0, 
9390, accessories.plugins, LOC, 3705.0, 0, 
9390, accessories.plugins, NOMNAMM, 151.0, 0, 
9390, accessories.plugins, NOM, 164.0, 0, 
9390, accessories.plugins, NOCS, 63.0, 0, 
9390, accessories.plugins, NOI, 0.0, 0, 
9743, tests.freemind, LOC, 1680.0, 0, 
9743, tests.freemind, NOMNAMM, 170.0, 0, 
9743, tests.freemind, NOM, 187.0, 0, 
9743, tests.freemind, NOCS, 22.0, 0, 
9743, tests.freemind, NOI, 0.0, 0, 
9983, freemind.modes.mindmapmode, LOC, 4223.0, 0, 
9983, freemind.modes.mindmapmode, NOMNAMM, 198.0, 0, 
9983, freemind.modes.mindmapmode, NOM, 240.0, 0, 
9983, freemind.modes.mindmapmode, NOCS, 38.0, 0, 
9983, freemind.modes.mindmapmode, NOI, 0.0, 0, 
10331, freemind.view.mindmapview, LOC, 6298.0, 0, 
10331, freemind.view.mindmapview, NOMNAMM, 322.0, 0, 
10331, freemind.view.mindmapview, NOM, 410.0, 0, 
10331, freemind.view.mindmapview, NOCS, 59.0, 0, 
10331, freemind.view.mindmapview, NOI, 2.0, 0, 
10928, accessories.plugins.time, LOC, 4275.0, 0, 
10928, accessories.plugins.time, NOMNAMM, 136.0, 0, 
10928, accessories.plugins.time, NOM, 230.0, 0, 
10928, accessories.plugins.time, NOCS, 62.0, 0, 
10928, accessories.plugins.time, NOI, 0.0, 0, 
11327, accessories.plugins.dialogs, LOC, 1275.0, 0, 
11327, accessories.plugins.dialogs, NOMNAMM, 44.0, 0, 
11327, accessories.plugins.dialogs, NOM, 61.0, 0, 
11327, accessories.plugins.dialogs, NOCS, 25.0, 0, 
11327, accessories.plugins.dialogs, NOI, 0.0, 0, 
11458, freemind.modes.mindmapmode.attributeactors, LOC, 2362.0, 0, 
11458, freemind.modes.mindmapmode.attributeactors, NOMNAMM, 132.0, 0, 
11458, freemind.modes.mindmapmode.attributeactors, NOM, 136.0, 0, 
11458, freemind.modes.mindmapmode.attributeactors, NOCS, 57.0, 0, 
11458, freemind.modes.mindmapmode.attributeactors, NOI, 1.0, 0, 
11754, freemind.modes.filemode, LOC, 421.0, 0, 
11754, freemind.modes.filemode, NOMNAMM, 39.0, 0, 
11754, freemind.modes.filemode, NOM, 44.0, 0, 
11754, freemind.modes.filemode, NOCS, 9.0, 0, 
11754, freemind.modes.filemode, NOI, 0.0, 0, 
11812, freemind.common, LOC, 1343.0, 0, 
11812, freemind.common, NOMNAMM, 76.0, 0, 
11812, freemind.common, NOM, 128.0, 0, 
11812, freemind.common, NOCS, 30.0, 0, 
11812, freemind.common, NOI, 2.0, 0, 
12000, freemind.extensions, LOC, 1339.0, 0, 
12000, freemind.extensions, NOMNAMM, 108.0, 0, 
12000, freemind.extensions, NOM, 136.0, 0, 
12000, freemind.extensions, NOCS, 18.0, 0, 
12000, freemind.extensions, NOI, 8.0, 0, 
12184, freemind.modes.attributes, LOC, 1116.0, 0, 
12184, freemind.modes.attributes, NOMNAMM, 119.0, 0, 
12184, freemind.modes.attributes, NOM, 161.0, 0, 
12184, freemind.modes.attributes, NOCS, 9.0, 0, 
12184, freemind.modes.attributes, NOI, 3.0, 0, 
12367, accessories.plugins.util.window, LOC, 30.0, 0, 
12367, accessories.plugins.util.window, NOMNAMM, 3.0, 0, 
12367, accessories.plugins.util.window, NOM, 3.0, 0, 
12367, accessories.plugins.util.window, NOCS, 1.0, 0, 
12367, accessories.plugins.util.window, NOI, 0.0, 0, 
12372, freemind.modes.browsemode, LOC, 921.0, 0, 
12372, freemind.modes.browsemode, NOMNAMM, 76.0, 0, 
12372, freemind.modes.browsemode, NOM, 92.0, 0, 
12372, freemind.modes.browsemode, NOCS, 16.0, 0, 
12372, freemind.modes.browsemode, NOI, 0.0, 0, 
12485, freemind.controller.filter, LOC, 1234.0, 0, 
12485, freemind.controller.filter, NOMNAMM, 60.0, 0, 
12485, freemind.controller.filter, NOM, 72.0, 0, 
12485, freemind.controller.filter, NOCS, 23.0, 0, 
12485, freemind.controller.filter, NOI, 1.0, 0, 
12629, plugins.latex, LOC, 157.0, 0, 
12629, plugins.latex, NOMNAMM, 14.0, 0, 
12629, plugins.latex, NOM, 18.0, 0, 
12629, plugins.latex, NOCS, 2.0, 0, 
12629, plugins.latex, NOI, 0.0, 0, 
12650, plugins.help, LOC, 27.0, 0, 
12650, plugins.help, NOMNAMM, 1.0, 0, 
12650, plugins.help, NOM, 1.0, 0, 
12650, plugins.help, NOCS, 1.0, 0, 
12650, plugins.help, NOI, 0.0, 0, 
12653, plugins.collaboration.database, LOC, 781.0, 0, 
12653, plugins.collaboration.database, NOMNAMM, 59.0, 0, 
12653, plugins.collaboration.database, NOM, 64.0, 0, 
12653, plugins.collaboration.database, NOCS, 17.0, 0, 
12653, plugins.collaboration.database, NOI, 0.0, 0, 
12759, freemind.modes.mindmapmode.hooks, LOC, 391.0, 0, 
12759, freemind.modes.mindmapmode.hooks, NOMNAMM, 23.0, 0, 
12759, freemind.modes.mindmapmode.hooks, NOM, 26.0, 0, 
12759, freemind.modes.mindmapmode.hooks, NOCS, 5.0, 0, 
12759, freemind.modes.mindmapmode.hooks, NOI, 0.0, 0, 
12793, freemind.controller.filter.util, LOC, 387.0, 0, 
12793, freemind.controller.filter.util, NOMNAMM, 47.0, 0, 
12793, freemind.controller.filter.util, NOM, 50.0, 0, 
12793, freemind.controller.filter.util, NOCS, 6.0, 0, 
12793, freemind.controller.filter.util, NOI, 1.0, 0, 
12859, freemind.preferences.layout, LOC, 2462.0, 0, 
12859, freemind.preferences.layout, NOMNAMM, 37.0, 0, 
12859, freemind.preferences.layout, NOM, 40.0, 0, 
12859, freemind.preferences.layout, NOCS, 18.0, 0, 
12859, freemind.preferences.layout, NOI, 0.0, 0, 
12962, freemind.modes.common.dialogs, LOC, 646.0, 0, 
12962, freemind.modes.common.dialogs, NOMNAMM, 35.0, 0, 
12962, freemind.modes.common.dialogs, NOM, 47.0, 0, 
12962, freemind.modes.common.dialogs, NOCS, 10.0, 0, 
12962, freemind.modes.common.dialogs, NOI, 0.0, 0, 
13031, freemind.modes.common.actions, LOC, 276.0, 0, 
13031, freemind.modes.common.actions, NOMNAMM, 11.0, 0, 
13031, freemind.modes.common.actions, NOM, 13.0, 0, 
13031, freemind.modes.common.actions, NOCS, 3.0, 0, 
13031, freemind.modes.common.actions, NOI, 0.0, 0, 
13050, freemind.modes.common.listeners, LOC, 327.0, 0, 
