15562, Field, LOC, 21.0, 15561, 
15562, Field, NOMNAMM, 1.0, 15561, 
15562, Field, NOM, 1.0, 15561, 
15562, Field, WMCNAMM, 1.0, 15561, 
15562, Field, WMC, 1.0, 15561, 
15562, Field, NOA, 5.0, 15561, 
15562, Field, LOCNAMM, 21.0, 15561, 
15562, Field, AMWNAMM, 1.0, 15561, 
15562, Field, RFC, 1.0, 15561, 
15562, Field, NOII, 0.0, 15561, 
15562, Field, AMW, 1.0, 15561, 
15562, Field, TCC, 1.0, 15561, 
15562, Field, ATFD, 0.0, 15561, 
15562, Field, FANOUT, 0.0, 15561, 
15562, Field, NOCS, 0.0, 15561, 
15562, Field, NIM, 0.0, 15561, 
15562, Field, LCOM5, 0.0, 15561, 
15562, Field, NOAM, 0.0, 15561, 
15562, Field, CBO, 1.0, 15561, 
15562, Field, WOC, 0.166666666666667, 15561, 
15562, Field, DIT, 1.0, 15561, 
15562, Field, NOPA, 5.0, 15561, 
15562, Field, NOC, 0.0, 15561, 
15562, Field, CFNAMM, 0.0, 15561, 
15562, Field, NMO, 0.0, 15561, 
15564, Attribute_SourceFile, LOC, 9.0, 15561, 
15564, Attribute_SourceFile, NOMNAMM, 1.0, 15561, 
15564, Attribute_SourceFile, NOM, 1.0, 15561, 
15564, Attribute_SourceFile, WMCNAMM, 1.0, 15561, 
15564, Attribute_SourceFile, WMC, 1.0, 15561, 
15564, Attribute_SourceFile, NOA, 1.0, 15561, 
15564, Attribute_SourceFile, LOCNAMM, 9.0, 15561, 
15564, Attribute_SourceFile, AMWNAMM, 1.0, 15561, 
15564, Attribute_SourceFile, RFC, 2.0, 15561, 
15564, Attribute_SourceFile, NOII, 0.0, 15561, 
15564, Attribute_SourceFile, AMW, 1.0, 15561, 
15564, Attribute_SourceFile, TCC, 1.0, 15561, 
15564, Attribute_SourceFile, ATFD, 0.0, 15561, 
15564, Attribute_SourceFile, FANOUT, 0.0, 15561, 
15564, Attribute_SourceFile, NOCS, 0.0, 15561, 
15564, Attribute_SourceFile, NIM, 0.0, 15561, 
15564, Attribute_SourceFile, LCOM5, 0.0, 15561, 
15564, Attribute_SourceFile, NOAM, 0.0, 15561, 
15564, Attribute_SourceFile, CBO, 2.0, 15561, 
15564, Attribute_SourceFile, WOC, 0.5, 15561, 
15564, Attribute_SourceFile, DIT, 2.0, 15561, 
15564, Attribute_SourceFile, NOPA, 1.0, 15561, 
15564, Attribute_SourceFile, NOC, 0.0, 15561, 
15564, Attribute_SourceFile, CFNAMM, 3.0, 15561, 
15564, Attribute_SourceFile, NMO, 0.0, 15561, 
15566, Constant_Double, LOC, 11.0, 15561, 
15566, Constant_Double, NOMNAMM, 2.0, 15561, 
15566, Constant_Double, NOM, 2.0, 15561, 
15566, Constant_Double, WMCNAMM, 2.0, 15561, 
15566, Constant_Double, WMC, 2.0, 15561, 
15566, Constant_Double, NOA, 1.0, 15561, 
15566, Constant_Double, LOCNAMM, 11.0, 15561, 
15566, Constant_Double, AMWNAMM, 1.0, 15561, 
15566, Constant_Double, RFC, 3.0, 15561, 
15566, Constant_Double, NOII, 0.0, 15561, 
15566, Constant_Double, AMW, 1.0, 15561, 
15566, Constant_Double, TCC, 1.0, 15561, 
15566, Constant_Double, ATFD, 0.0, 15561, 
15566, Constant_Double, FANOUT, 0.0, 15561, 
15566, Constant_Double, NOCS, 0.0, 15561, 
15566, Constant_Double, NIM, 0.0, 15561, 
15566, Constant_Double, LCOM5, 1.0, 15561, 
15566, Constant_Double, NOAM, 0.0, 15561, 
15566, Constant_Double, CBO, 2.0, 15561, 
15566, Constant_Double, WOC, 0.666666666666667, 15561, 
15566, Constant_Double, DIT, 2.0, 15561, 
15566, Constant_Double, NOPA, 1.0, 15561, 
15566, Constant_Double, NOC, 0.0, 15561, 
15566, Constant_Double, CFNAMM, 5.0, 15561, 
15566, Constant_Double, NMO, 1.0, 15561, 
15569, ConstantPool, LOC, 34.0, 15561, 
15569, ConstantPool, NOMNAMM, 3.0, 15561, 
15569, ConstantPool, NOM, 4.0, 15561, 
15569, ConstantPool, WMCNAMM, 7.0, 15561, 
15569, ConstantPool, WMC, 8.0, 15561, 
15569, ConstantPool, NOA, 1.0, 15561, 
15569, ConstantPool, LOCNAMM, 29.0, 15561, 
15569, ConstantPool, AMWNAMM, 2.33333333333333, 15561, 
15569, ConstantPool, RFC, 4.0, 15561, 
15569, ConstantPool, NOII, 0.0, 15561, 
15569, ConstantPool, AMW, 2.0, 15561, 
15569, ConstantPool, TCC, 1.0, 15561, 
15569, ConstantPool, ATFD, 0.0, 15561, 
15569, ConstantPool, FANOUT, 0.0, 15561, 
15569, ConstantPool, NOCS, 0.0, 15561, 
15569, ConstantPool, NIM, 0.0, 15561, 
15569, ConstantPool, LCOM5, 0.333333333333333, 15561, 
15569, ConstantPool, NOAM, 1.0, 15561, 
15569, ConstantPool, CBO, 3.0, 15561, 
15569, ConstantPool, WOC, 0.75, 15561, 
15569, ConstantPool, DIT, 1.0, 15561, 
15569, ConstantPool, NOPA, 0.0, 15561, 
15569, ConstantPool, NOC, 0.0, 15561, 
15569, ConstantPool, CFNAMM, 0.0, 15561, 
15569, ConstantPool, NMO, 1.0, 15561, 
15574, Constant_Float, LOC, 11.0, 15561, 
15574, Constant_Float, NOMNAMM, 2.0, 15561, 
15574, Constant_Float, NOM, 2.0, 15561, 
15574, Constant_Float, WMCNAMM, 2.0, 15561, 
