15561, com.jasml.classes, LOC, 1690.0, 0, 
15561, com.jasml.classes, NOMNAMM, 40.0, 0, 
15561, com.jasml.classes, NOM, 42.0, 0, 
15561, com.jasml.classes, NOCS, 32.0, 0, 
15561, com.jasml.classes, NOI, 0.0, 0, 
15643, (default package), LOC, 204.0, 0, 
15643, (default package), NOMNAMM, 8.0, 0, 
15643, (default package), NOM, 8.0, 0, 
15643, (default package), NOCS, 1.0, 0, 
15643, (default package), NOI, 0.0, 0, 
15653, com.jasml.compiler, LOC, 2639.0, 0, 
15653, com.jasml.compiler, NOMNAMM, 97.0, 0, 
15653, com.jasml.compiler, NOM, 106.0, 0, 
15653, com.jasml.compiler, NOCS, 8.0, 0, 
15653, com.jasml.compiler, NOI, 1.0, 0, 
15772, com.jasml.decompiler, LOC, 1422.0, 0, 
15772, com.jasml.decompiler, NOMNAMM, 54.0, 0, 
15772, com.jasml.decompiler, NOM, 54.0, 0, 
15772, com.jasml.decompiler, NOCS, 3.0, 0, 
15772, com.jasml.decompiler, NOI, 0.0, 0, 
15831, com.jasml.helper, LOC, 943.0, 0, 
15831, com.jasml.helper, NOMNAMM, 33.0, 0, 
15831, com.jasml.helper, NOM, 34.0, 0, 
15831, com.jasml.helper, NOCS, 5.0, 0, 
15831, com.jasml.helper, NOI, 0.0, 0, 
