ID,Project,Package,Class,Method,NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CLNAMM_method,CINT_method,MeMCL_method,CDISP_method,NOII_class,NOAM_class,NOCS_class,NOM_class,NMO_class,ATFD_class,FANOUT_class,NOMNAMM_class,NOA_class,NIM_class,DIT_class,LOC_class,LOCNAMM_class,CFNAMM_class,TCC_class,NOPA_class,CBO_class,RFC_class,NOC_class,WMC_class,LCOM5_class,WOC_class,WMCNAMM_class,AMW_class,AMWNAMM_class,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,TestMethod
1500,freemind,freemind.modes.mindmapmode.action,EditActio,"edit(boolean,freemind.view.mindmapview.EditNodeExternalApplication,freemind.view.mindmapview.EditNodeWYSIWYG,java.lang.String,java.lang.String,freemind.view.mindmapview.EditNodeDialog,freemind.view.mindmapview.EditNodeTextField,boolean,boolean,java.awt.event.KeyEvent,freemind.view.mindmapview.NodeView,freemind.view.mindmapview.NodeView,boolean,boolean,boolean,boolean,freemind.view.mindmapview.MapView,java.lang.String,boolean,int)",6.0,1.0,7.0,4.0,1.0,4.0,163.0,17.0,0.0,20.0,0.0,27.0,0.222222222222222,17.0,52.0,2.0,0.0,31.0,0.0,0.548387096774194,1.0,3.0,4.0,10.0,0.0,9.0,23.0,7.0,3.0,15.0,2.0,246.0,217.0,594.0,0.571428571428571,0.0,22.0,60.0,0.0,33.0,0.777777777777778,0.875,30.0,3.3,4.28571428571429,74.0,380.0,4.0,5031.0,435.0,true
8090,jasml_2,com.jasml.classe,Metho,"Method(int,int,int,int,Attribute[])",5.0,2.0,0.0,0.0,2.0,1.0,7.0,1.0,0.0,5.0,0.0,10.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,20.0,20.0,0.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0,0.166666666666667,1.0,1.0,1.0,32.0,40.0,0.0,1690.0,42.0,false
8161,jasml_2,com.jasml.compile,ConstantPoolGenerato,"addMethodNameAndType(int,java.lang.String,int,java.lang.String,java.lang.String,int,java.lang.String)",3.0,0.0,0.0,0.0,0.0,2.0,19.0,2.0,0.0,7.0,0.0,10.0,1.0,2.0,6.0,3.0,0.0,3.0,0.0,0.666666666666667,0.0,1.0,0.0,25.0,0.0,11.0,14.0,24.0,6.0,0.0,1.0,312.0,304.0,670.0,0.833333333333333,0.0,15.0,41.0,0.0,62.0,0.701388888888889,0.923076923076923,61.0,2.48,2.54166666666667,8.0,97.0,1.0,2639.0,106.0,true
2402,freemind,freemind.view.mindmapvie,MapVie,"toggleSelected(freemind.view.mindmapview.NodeView,freemind.view.mindmapview.NodeView)",1.0,4.0,0.0,0.0,4.0,3.0,17.0,4.0,0.0,2.0,0.0,4.0,1.0,2.0,10.0,2.0,0.0,5.0,0.0,0.4,2.0,12.0,6.0,68.0,2.0,14.0,20.0,56.0,31.0,520.0,5.0,1386.0,1251.0,9012.0,0.0573294629898403,1.0,21.0,148.0,0.0,232.0,0.979778526721232,0.717391304347826,206.0,3.41176470588235,3.67857142857143,59.0,322.0,2.0,6298.0,410.0,false
3995,freemind,freemind.modes.attribute,AttributeRegistr,"fireAttributesChanged(int,Object[])",0.0,1.0,0.0,0.0,5.0,3.0,14.0,4.0,0.0,2.0,0.0,5.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,13.0,0.0,47.0,0.0,12.0,11.0,34.0,16.0,0.0,1.0,373.0,277.0,1556.0,0.0952380952380952,1.0,15.0,89.0,0.0,77.0,0.956521739130435,0.720930232558139,60.0,1.63829787234043,1.76470588235294,9.0,119.0,3.0,1116.0,161.0,true
7559,jFin,org.jfin.date.accrua,AccrualSchedul,"getStartCalendar()",0.0,1.0,2.0,2.0,1.0,2.0,6.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,27.0,0.0,8.0,8.0,26.0,2.0,0.0,1.0,306.0,297.0,856.0,0.0,0.0,8.0,44.0,0.0,36.0,1.03846153846154,0.962962962962963,35.0,1.33333333333333,1.34615384615385,7.0,57.0,1.0,889.0,86.0,false
7529,jFin,org.jfin.date.accrua,Paymen,"setPaymentCalendar(java.util.Calendar)",1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,12.0,1.0,0.0,0.0,6.0,3.0,0.0,1.0,112.0,58.0,0.0,0.194444444444444,0.0,1.0,12.0,0.0,12.0,0.848484848484849,0.5,6.0,1.0,1.0,7.0,57.0,1.0,889.0,86.0,true
7999,jasml,com.jasml.helpe,Uti,"getBytes(byte[],int,int)",2.0,1.0,0.0,0.0,2.0,2.0,15.0,4.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,22.0,0.0,24.0,2.0,0.0,1.0,669.0,669.0,0.0,0.0,2.0,1.0,24.0,0.0,251.0,1.0,0.923076923076923,251.0,10.4583333333333,10.4583333333333,5.0,33.0,0.0,943.0,34.0,false
7770,jasml,com.jasml.classe,Attribute_Exception,"Attribute_Exceptions(int[],int,int)",3.0,2.0,1.0,1.0,2.0,1.0,5.0,1.0,0.0,3.0,0.0,6.0,0.666666666666667,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,11.0,11.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.333333333333333,1.0,1.0,1.0,32.0,40.0,0.0,1690.0,42.0,true
7406,jFin,org.jfin.dat,ScheduleGenerato,"generateSchedule(org.jfin.date.Period,java.util.Calendar,org.jfin.date.Tenor,int,org.jfin.date.StubType,org.jfin.date.Frequency,java.util.Calendar)",6.0,0.0,2.0,1.0,0.0,1.0,9.0,1.0,0.0,7.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,18.0,0.0,13.0,5.0,18.0,1.0,0.0,1.0,538.0,538.0,104.0,0.0,0.0,6.0,31.0,0.0,45.0,1.0,1.0,45.0,2.5,2.5,10.0,60.0,1.0,1447.0,77.0,true
