2, MindMapMock, LOC, 139.0, 1, 
2, MindMapMock, NOMNAMM, 32.0, 1, 
2, MindMapMock, NOM, 35.0, 1, 
2, MindMapMock, WMCNAMM, 32.0, 1, 
2, MindMapMock, WMC, 35.0, 1, 
2, MindMapMock, NOA, 1.0, 1, 
2, MindMapMock, LOCNAMM, 127.0, 1, 
2, MindMapMock, AMWNAMM, 1.0, 1, 
2, MindMapMock, RFC, 35.0, 1, 
2, MindMapMock, NOII, 1.0, 1, 
2, MindMapMock, AMW, 1.0, 1, 
2, MindMapMock, TCC, 0.0, 1, 
2, MindMapMock, ATFD, 0.0, 1, 
2, MindMapMock, FANOUT, 0.0, 1, 
2, MindMapMock, NOCS, 0.0, 1, 
2, MindMapMock, NIM, 0.0, 1, 
2, MindMapMock, LCOM5, 1.0, 1, 
2, MindMapMock, NOAM, 3.0, 1, 
2, MindMapMock, CBO, 5.0, 1, 
2, MindMapMock, WOC, 0.914285714285714, 1, 
2, MindMapMock, DIT, 1.0, 1, 
2, MindMapMock, NOPA, 0.0, 1, 
2, MindMapMock, NOC, 0.0, 1, 
2, MindMapMock, CFNAMM, 0.0, 1, 
2, MindMapMock, NMO, 0.0, 1, 
38, AllTests, LOC, 24.0, 1, 
38, AllTests, NOMNAMM, 2.0, 1, 
38, AllTests, NOM, 2.0, 1, 
38, AllTests, WMCNAMM, 3.0, 1, 
38, AllTests, WMC, 3.0, 1, 
38, AllTests, NOA, 0.0, 1, 
38, AllTests, LOCNAMM, 24.0, 1, 
38, AllTests, AMWNAMM, 1.5, 1, 
38, AllTests, RFC, 2.0, 1, 
38, AllTests, NOII, 0.0, 1, 
38, AllTests, AMW, 1.5, 1, 
38, AllTests, TCC, 0.0, 1, 
38, AllTests, ATFD, 0.0, 1, 
38, AllTests, FANOUT, 0.0, 1, 
38, AllTests, NOCS, 0.0, 1, 
38, AllTests, NIM, 0.0, 1, 
38, AllTests, LCOM5, 0.0, 1, 
38, AllTests, NOAM, 0.0, 1, 
38, AllTests, CBO, 6.0, 1, 
38, AllTests, WOC, 1.0, 1, 
38, AllTests, DIT, 1.0, 1, 
