8022, toString(), 0.0, 8020, 
8026, Constant_Double(double), 1.0, 8025, 
8027, toString(), 0.0, 8025, 
8029, ConstantPool(ConstantPoolItem[]), 1.0, 8028, 
8030, getConstant(int), 1.0, 8028, 
8031, getConstantPoolCount(), 0.0, 8028, 
8032, toString(com.jasml.classes.ConstantPoolItem, java.lang.StringBuffer, int), 0.0, 8028, 
8034, Constant_Float(float), 1.0, 8033, 
8035, toString(), 0.0, 8033, 
8037, ConstantPoolItem(byte), 1.0, 8036, 
8048, toString(), 0.0, 8046, 
8050, Attribute_Code(), 0.0, 8049, 
8056, Opcode(), 0.0, 8054, 
8058, Attribute_Deprecated(), 0.0, 8057, 
8062, Constant_String(int), 1.0, 8061, 
8063, toString(), 0.0, 8061, 
8065, Constant_Long(long), 1.0, 8064, 
8066, getValue(), 0.0, 8064, 
8067, toString(), 0.0, 8064, 
8072, toString(), 0.0, 8070, 
8078, toString(), 0.0, 8076, 
8084, Constant_Utf8(java.lang.String), 1.0, 8083, 
8085, toString(), 0.0, 8083, 
8092, Constant_Class(int), 1.0, 8091, 
8093, toString(), 0.0, 8091, 
8095, Constant_Integer(int), 1.0, 8094, 
8096, toString(), 0.0, 8094, 
8098, Attribute_Synthetic(), 0.0, 8097, 
8101, SourceCodeParser(java.io.File), 1.0, 8100, 
8102, SourceCodeParser(java.lang.String), 1.0, 8100, 
8103, parse(), 0.0, 8100, 
8104, preprocessConstantValues(java.lang.String), 0.0, 8100, 
8105, parseClass(), 0.0, 8100, 
8106, parseClassSignature(int, com.jasml.helper.IntegerArray), 0.0, 8100, 
8107, parseFields(java.lang.Object, java.util.ArrayList), 0.0, 8100, 
8108, parseField(com.jasml.classes.Attribute_ConstantValue, java.lang.String, int, int, java.lang.String, java.lang.String, com.jasml.classes.Field, java.lang.String, java.util.ArrayList), 0.0, 8100, 
8109, parseMethods(java.lang.Object, java.util.ArrayList), 0.0, 8100, 
8110, parseMethod(com.jasml.compiler.SourceCodeParser.LabeledInstructions, java.util.ArrayList, com.jasml.classes.Method, com.jasml.classes.Attribute_Code, int, java.util.ArrayList), 0.0, 8100, 
8112, parseLineNumbers(java.lang.String), 1.0, 8100, 
8113, parseMethodInstructions(com.jasml.helper.OpcodeInfo, byte[][], java.util.ArrayList, java.util.Hashtable, int, com.jasml.classes.Method, boolean, int, int, int, java.lang.StringBuffer, java.lang.String, java.lang.String, int, boolean, com.jasml.classes.Attribute_Code.Opcode, java.util.ArrayList, int, java.lang.String, java.util.ArrayList, int, java.lang.String, int, int, int), 1.0, 8100, 
8119, parseAttribute(com.jasml.classes.Attribute, java.lang.String), 0.0, 8100, 
8120, parseInnerClasses(int, int, com.jasml.classes.Attribute_InnerClasses, com.jasml.compiler.Scanner, int, int, java.util.ArrayList), 0.0, 8100, 
8121, parseClassAttributes(int, int, java.lang.String, java.util.ArrayList), 0.0, 8100, 
8122, parseMaxStackOrLocals(com.jasml.classes.Attribute_Code, com.jasml.compiler.Scanner), 1.0, 8100, 
8123, parseMajorOrMinor(java.lang.String, java.lang.NumberFormatException), 0.0, 8100, 
8124, parseInteger(java.lang.String), 1.0, 8100, 
8125, parseLong(java.lang.String), 1.0, 8100, 
8126, parseFloat(java.lang.String), 1.0, 8100, 
8127, parseDouble(java.lang.String), 1.0, 8100, 
8129, main(String[], com.jasml.compiler.SourceCodeParser), 1.0, 8100, 
8131, OpcodeWrapper(com.jasml.classes.Attribute_Code.Opcode), 1.0, 8130, 
8146, ParsingException(java.lang.String), 1.0, 8141, 
8147, getMessage(java.lang.StringBuffer), 0.0, 8141, 
8149, ConstantPoolGenerator(), 0.0, 8148, 
8150, getConstantPool(ConstantPoolItem[], com.jasml.classes.ConstantPool), 0.0, 8148, 
8151, addClass(java.lang.String, int, int), 1.0, 8148, 
8152, addDouble(int, double), 1.0, 8148, 
8154, addFloat(int, float), 1.0, 8148, 
8155, addInteger(int, int), 1.0, 8148, 
8157, addLong(int, long), 1.0, 8148, 
8159, lookupMIFref(java.lang.String, java.lang.Object), 1.0, 8148, 
8162, addString(int, com.jasml.classes.ConstantPoolItem, java.lang.String), 1.0, 8148, 
8163, lookupString(java.lang.String, java.lang.Object), 1.0, 8148, 
8164, addUtf8(int, com.jasml.classes.ConstantPoolItem, java.lang.String), 1.0, 8148, 
8165, lookupUtf8(com.jasml.classes.ConstantPoolItem, java.lang.String, int), 1.0, 8148, 
