@relation InstanceResultListener

@attribute Key_Dataset {dataset}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayes,weka.classifiers.rules.JRip,weka.classifiers.trees.RandomForest,weka.classifiers.meta.AdaBoostM1,weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'','-F 3 -N 2.0 -O 2 -S 1','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump','-C 0.25 -M 2'}
@attribute Key_Scheme_version_ID {5995231201785697655,-6589312996832147161,1116839470751428698,-1178107808933117974,-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 1\nSize of the tree: 1\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 6\nSize of the tree: 11\n'}
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric

@data

dataset,1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,0,2,0,0,100,0,0,0.666667,0.816497,190.909091,206.919148,2.140779,1155.844243,-1153.703464,1.070389,577.922121,-576.851732,-1.865772,-0.932886,-137.525874,0,0,0,0,0,0,1,2,0,0,0,0,?,1,0,0,0,1,0,0,0,0,0,1,0,0,0.004,0.002,0,0,0,0,20544,16017,8385,0,33.333333,?,?,?,?,?
dataset,1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,1,1,0,50,50,0,0,0.333333,0.57735,91.304348,138.169856,2.325203,508.001543,-505.67634,1.162602,254.000771,-252.83817,0.241008,0.120504,17.957015,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.75,0.75,0.333333,0.5,0.002,0.001,0,0,0,0,20544,16017,8385,50,33.333333,?,?,?,?,?
dataset,1,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,0,2,0,0,100,0,-1,0.666632,0.816454,182.59908,195.391396,2.325203,39.591493,-37.26629,1.162602,19.795747,-18.633145,-1.762115,-0.881058,-131.291554,0,0,1,1,0,0,1,1,0,0,0,-1,0,0.5,0,1,0,1,0,0,0,-1,0,0.5,0,0,0.002,0.001,0,0,0,0,20544,16017,8385,0,33.333333,?,?,?,?,?
dataset,1,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,1,1,0,50,50,0,0,0.332812,0.576216,91.161674,137.89839,2.325203,8.991975,-6.666772,1.162602,4.495987,-3.333386,0.324185,0.162093,24.154365,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,1,1,0.333333,0.5,0.002,0,0,0,0,0,20544,16017,8385,50,33.333333,?,?,?,?,?
dataset,1,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,1,1,0,50,50,0,0,0.333333,0.57735,91.304348,138.169856,2.325203,173.801121,-171.475917,1.162602,86.90056,-85.737959,0.241008,0.120504,17.957015,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.75,0.75,0.333333,0.5,0.001,0.001,0,0,0,0,20544,16017,8385,50,33.333333,?,?,?,?,?
dataset,1,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,1,1,0,50,50,0,0,0.333333,0.57735,91.304347,138.169855,2.325203,27.520219,-25.195016,1.162602,13.760109,-12.597508,0.241008,0.120504,17.957016,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,1,1,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,1,1,0.333333,0.5,0.001,0.001,0,0,0,0,20544,16017,8385,50,33.333333,?,?,?,?,?
dataset,1,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,1,1,0,50,50,0,0,0.333333,0.57735,91.30436,138.169856,2.325203,319.983662,-317.658459,1.162602,159.991831,-158.82923,0.321928,0.160964,23.986183,0,0,0,0,1,1,1,1,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0,0.5,0.333333,0.5,0.001,0,0,0,0,0,20544,16017,8385,50,33.333333,?,?,?,?,?
dataset,1,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,2,0,0,100,0,0,1,0,0,0,0,2.325203,0,2.325203,1.162602,0,1.162602,2.325203,1.162602,173.246087,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0,0,0,0,0,20544,16017,8385,100,33.333333,?,?,?,?,?
dataset,1,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,2,0,0,100,0,0,1,0.000789,0.001367,0.216179,0.327142,2.325203,0.00342,2.321783,1.162602,0.00171,1.160892,2.321783,1.160892,172.991279,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0,0,0,0,0,20544,16017,8385,100,33.333333,?,?,?,?,?
