ID,Project,Package,Class,Method,NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CLNAMM_method,CINT_method,MeMCL_method,CDISP_method,NOII_class,NOAM_class,NOCS_class,NOM_class,NMO_class,ATFD_class,FANOUT_class,NOMNAMM_class,NOA_class,NIM_class,DIT_class,LOC_class,LOCNAMM_class,CFNAMM_class,TCC_class,NOPA_class,CBO_class,RFC_class,NOC_class,WMC_class,LCOM5_class,WOC_class,WMCNAMM_class,AMW_class,AMWNAMM_class,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,TestWindows
4019,freemind,freemind.common,OptionalDontShowMeAgainDialog,"OptionalDontShowMeAgainDialog(java.awt.Component,int,javax.swing.JFrame,java.lang.String,freemind.common.TextTranslator,freemind.common.OptionalDontShowMeAgainDialog.DontShowPropertyHandler,java.lang.String))",7.0,7.0,0.0,0.0,7.0,1.0,10.0,1.0,0.0,7.0,0.0,14.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,0.0,1.0,4.0,3.0,12.0,0.0,1.0,157.0,149.0,48.0,1.0,2.0,3.0,13.0,0.0,10.0,0.833333333333333,0.4,9.0,2.5,3.0,30.0,76.0,2.0,1343.0,128.0,true
7091,freemind,plugins.collaboration.jabber.view,SpringUtilities,"makeGrid(javax.swing.SpringLayout.Constraints,javax.swing.SpringLayout,javax.swing.Spring,javax.swing.SpringLayout.Constraints,javax.swing.Spring,javax.swing.SpringLayout.Constraints,int,int,java.awt.Container,int,int,int,int,javax.swing.Spring,javax.swing.Spring,int,javax.swing.SpringLayout.Constraints,javax.swing.Spring,javax.swing.Spring,int,java.lang.ClassCastException))",7.0,0.0,0.0,0.0,0.0,3.0,73.0,7.0,0.0,21.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,186.0,186.0,0.0,0.0,0.0,0.0,4.0,0.0,17.0,0.0,1.0,17.0,4.25,4.25,2.0,33.0,0.0,730.0,33.0,false
4246,freemind,freemind.main,HtmlTools,"unescapeHTMLUnicodeEntity(char,char,boolean,java.lang.String,int,java.lang.StringBuffer,java.lang.StringBuffer,java.lang.NumberFormatException))",1.0,7.0,0.0,0.0,8.0,7.0,49.0,12.0,0.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,1.0,3.0,25.0,8.0,0.0,1.0,615.0,615.0,292.0,0.00395256916996047,2.0,2.0,30.0,0.0,100.0,1.0,0.92,100.0,4.0,4.0,50.0,388.0,3.0,8258.0,437.0,true
2221,freemind,freemind.view.mindmapview,RootMainView,"dropAsSibling(double))",1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,15.0,10.0,8.0,4.0,10.0,0.0,571.0,6.0,139.0,106.0,526.0,0.0,0.0,11.0,72.0,0.0,19.0,0.0,0.777777777777778,14.0,1.26666666666667,1.4,59.0,322.0,2.0,6298.0,410.0,false
4073,freemind,freemind.common,PropertyBean,"setValue(java.lang.String))",1.0,2.0,?,?,2.0,0.0,1.0,1.0,0.0,1.0,0.0,?,?,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,?,0.0,0.0,5.0,1.0,?,1.0,27.0,24.0,0.0,0.2,0.0,0.0,6.0,12.0,7.0,0.6,?,6.0,1.16666666666667,1.2,30.0,76.0,2.0,1343.0,128.0,true
7297,jFin,org.jfin.date,TypedScheduleGenerator,"setMaxPeriods(int))",1.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,0.0,14.0,7.0,15.0,2.0,0.0,1.0,203.0,193.0,306.0,0.0,0.0,7.0,31.0,0.0,36.0,1.0625,0.818181818181818,34.0,2.11764705882353,2.26666666666667,10.0,60.0,1.0,1447.0,77.0,false
7437,jFin,org.jfin.date.accrual,AccrualSchedule,"clear())",0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,0.0,8.0,8.0,26.0,2.0,0.0,1.0,306.0,297.0,856.0,0.0,0.0,8.0,44.0,0.0,36.0,1.03846153846154,0.962962962962963,35.0,1.33333333333333,1.34615384615385,7.0,57.0,1.0,889.0,86.0,true
7597,jFin,org.jfin.date.holiday.financialcalendarimpl,HolidayFile,"HolidayFile())",0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,54.0,54.0,22.0,1.0,0.0,2.0,7.0,0.0,6.0,0.5,1.0,6.0,1.2,1.2,6.0,33.0,0.0,790.0,64.0,false
7913,jasml,com.jasml.compiler,SourceCodeParser.LabeledInstructions,"LabeledInstructions(int,Opcode[],java.util.Hashtable))",3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,3.0,0.0,6.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,13.0,13.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,8.0,97.0,1.0,2639.0,106.0,true
7911,jasml,com.jasml.compiler,SourceCodeParser.OpcodeWrapper,"OpcodeWrapper(java.lang.Object,int,byte,byte[][]))",4.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,4.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,14.0,14.0,3.0,1.0,1.0,1.0,3.0,0.0,2.0,2.0,0.666666666666667,2.0,1.0,1.0,8.0,97.0,1.0,2639.0,106.0, false
