2, ExtendedComboBoxModel, NOMNAMM, 14.0, 1, 
2, ExtendedComboBoxModel, NOM, 15.0, 1, 
2, ExtendedComboBoxModel, LOC, 129.0, 1, 
2, ExtendedComboBoxModel, WMCNAMM, 24.0, 1, 
2, ExtendedComboBoxModel, WMC, 29.0, 1, 
2, ExtendedComboBoxModel, NOA, 2.0, 1, 
2, ExtendedComboBoxModel, CFNAMM, 30.0, 1, 
2, ExtendedComboBoxModel, FANOUT, 2.0, 1, 
2, ExtendedComboBoxModel, NOII, 0.0, 1, 
2, ExtendedComboBoxModel, TCC, 0.277777777777778, 1, 
2, ExtendedComboBoxModel, CBO, 1.0, 1, 
2, ExtendedComboBoxModel, LOCNAMM, 103.0, 1, 
2, ExtendedComboBoxModel, AMWNAMM, 1.71428571428571, 1, 
2, ExtendedComboBoxModel, DIT, 3.0, 1, 
2, ExtendedComboBoxModel, RFC, 20.0, 1, 
2, ExtendedComboBoxModel, NOCS, 1.0, 1, 
2, ExtendedComboBoxModel, WOC, 0.916666666666667, 1, 
2, ExtendedComboBoxModel, ATFD, 0.0, 1, 
2, ExtendedComboBoxModel, AMW, 1.93333333333333, 1, 
2, ExtendedComboBoxModel, LCOM5, 0.821428571428571, 1, 
2, ExtendedComboBoxModel, NOAM, 1.0, 1, 
2, ExtendedComboBoxModel, NOPA, 0.0, 1, 
2, ExtendedComboBoxModel, NMO, 2.0, 1, 
2, ExtendedComboBoxModel, NIM, 15.0, 1, 
2, ExtendedComboBoxModel, NOC, 0.0, 1, 
18, ExtendedComboBoxModel.ExtensionDataListener, NOMNAMM, 3.0, 1, 
18, ExtendedComboBoxModel.ExtensionDataListener, NOM, 3.0, 1, 
18, ExtendedComboBoxModel.ExtensionDataListener, LOC, 27.0, 1, 
18, ExtendedComboBoxModel.ExtensionDataListener, WMCNAMM, 3.0, 1, 
18, ExtendedComboBoxModel.ExtensionDataListener, WMC, 3.0, 1, 
18, ExtendedComboBoxModel.ExtensionDataListener, NOA, 0.0, 1, 
18, ExtendedComboBoxModel.ExtensionDataListener, CFNAMM, 36.0, 1, 
18, ExtendedComboBoxModel.ExtensionDataListener, FANOUT, 1.0, 1, 
