1, freemind.controller.filter.util, NOMNAMM, 47.0, 0, 
1, freemind.controller.filter.util, NOM, 50.0, 0, 
1, freemind.controller.filter.util, LOC, 387.0, 0, 
1, freemind.controller.filter.util, NOCS, 6.0, 0, 
1, freemind.controller.filter.util, NOI, 1.0, 0, 
67, accessories.plugins.util.window, NOMNAMM, 3.0, 0, 
67, accessories.plugins.util.window, NOM, 3.0, 0, 
67, accessories.plugins.util.window, LOC, 30.0, 0, 
67, accessories.plugins.util.window, NOCS, 1.0, 0, 
67, accessories.plugins.util.window, NOI, 0.0, 0, 
72, freemind.modes.attributes, NOMNAMM, 119.0, 0, 
72, freemind.modes.attributes, NOM, 161.0, 0, 
72, freemind.modes.attributes, LOC, 1116.0, 0, 
72, freemind.modes.attributes, NOCS, 9.0, 0, 
72, freemind.modes.attributes, NOI, 3.0, 0, 
255, freemind.modes, NOMNAMM, 523.0, 0, 
255, freemind.modes, NOM, 728.0, 0, 
255, freemind.modes, LOC, 6037.0, 0, 
255, freemind.modes, NOCS, 34.0, 0, 
255, freemind.modes, NOI, 11.0, 0, 
1084, freemind.modes.browsemode, NOMNAMM, 76.0, 0, 
1084, freemind.modes.browsemode, NOM, 92.0, 0, 
1084, freemind.modes.browsemode, LOC, 921.0, 0, 
1084, freemind.modes.browsemode, NOCS, 16.0, 0, 
1084, freemind.modes.browsemode, NOI, 0.0, 0, 
1197, freemind.modes.mindmapmode.actions, NOMNAMM, 380.0, 0, 
1197, freemind.modes.mindmapmode.actions, NOM, 435.0, 0, 
1197, freemind.modes.mindmapmode.actions, LOC, 5031.0, 0, 
1197, freemind.modes.mindmapmode.actions, NOCS, 74.0, 0, 
1197, freemind.modes.mindmapmode.actions, NOI, 4.0, 0, 
1769, freemind.view.mindmapview, NOMNAMM, 322.0, 0, 
1769, freemind.view.mindmapview, NOM, 410.0, 0, 
1769, freemind.view.mindmapview, LOC, 6298.0, 0, 
1769, freemind.view.mindmapview, NOCS, 59.0, 0, 
1769, freemind.view.mindmapview, NOI, 2.0, 0, 
2366, freemind.modes.common.dialogs, NOMNAMM, 35.0, 0, 
2366, freemind.modes.common.dialogs, NOM, 47.0, 0, 
2366, freemind.modes.common.dialogs, LOC, 646.0, 0, 
2366, freemind.modes.common.dialogs, NOCS, 10.0, 0, 
2366, freemind.modes.common.dialogs, NOI, 0.0, 0, 
2435, freemind.controller.filter.condition, NOMNAMM, 82.0, 0, 
2435, freemind.controller.filter.condition, NOM, 90.0, 0, 
2435, freemind.controller.filter.condition, LOC, 906.0, 0, 
2435, freemind.controller.filter.condition, NOCS, 17.0, 0, 
2435, freemind.controller.filter.condition, NOI, 1.0, 0, 
2545, accessories.plugins, NOMNAMM, 151.0, 0, 
2545, accessories.plugins, NOM, 164.0, 0, 
2545, accessories.plugins, LOC, 3705.0, 0, 
2545, accessories.plugins, NOCS, 63.0, 0, 
2545, accessories.plugins, NOI, 0.0, 0, 
2898, freemind.extensions, NOMNAMM, 108.0, 0, 
2898, freemind.extensions, NOM, 136.0, 0, 
2898, freemind.extensions, LOC, 1339.0, 0, 
2898, freemind.extensions, NOCS, 18.0, 0, 
2898, freemind.extensions, NOI, 8.0, 0, 
3082, freemind.modes.schememode, NOMNAMM, 28.0, 0, 
3082, freemind.modes.schememode, NOM, 32.0, 0, 
3082, freemind.modes.schememode, LOC, 396.0, 0, 
3082, freemind.modes.schememode, NOCS, 8.0, 0, 
3082, freemind.modes.schememode, NOI, 0.0, 0, 
3125, accessories.plugins.time, NOMNAMM, 136.0, 0, 
3125, accessories.plugins.time, NOM, 230.0, 0, 
3125, accessories.plugins.time, LOC, 4275.0, 0, 
3125, accessories.plugins.time, NOCS, 62.0, 0, 
3125, accessories.plugins.time, NOI, 0.0, 0, 
3524, freemind.controller, NOMNAMM, 182.0, 0, 
3524, freemind.controller, NOM, 233.0, 0, 
3524, freemind.controller, LOC, 3615.0, 0, 
3524, freemind.controller, NOCS, 78.0, 0, 
3524, freemind.controller, NOI, 2.0, 0, 
4012, freemind.common, NOMNAMM, 76.0, 0, 
4012, freemind.common, NOM, 128.0, 0, 
4012, freemind.common, LOC, 1343.0, 0, 
4012, freemind.common, NOCS, 30.0, 0, 
4012, freemind.common, NOI, 2.0, 0, 
4200, freemind.modes.common.listeners, NOMNAMM, 18.0, 0, 
4200, freemind.modes.common.listeners, NOM, 18.0, 0, 
4200, freemind.modes.common.listeners, LOC, 327.0, 0, 
4200, freemind.modes.common.listeners, NOCS, 6.0, 0, 
4200, freemind.modes.common.listeners, NOI, 0.0, 0, 
4231, freemind.main, NOMNAMM, 388.0, 0, 
4231, freemind.main, NOM, 437.0, 0, 
4231, freemind.main, LOC, 8258.0, 0, 
4231, freemind.main, NOCS, 50.0, 0, 
4231, freemind.main, NOI, 3.0, 0, 
4828, freemind.controller.printpreview, NOMNAMM, 21.0, 0, 
4828, freemind.controller.printpreview, NOM, 22.0, 0, 
4828, freemind.controller.printpreview, LOC, 200.0, 0, 
4828, freemind.controller.printpreview, NOCS, 5.0, 0, 
4828, freemind.controller.printpreview, NOI, 0.0, 0, 
4858, tests.freemind, NOMNAMM, 170.0, 0, 
4858, tests.freemind, NOM, 187.0, 0, 
4858, tests.freemind, LOC, 1680.0, 0, 
4858, tests.freemind, NOCS, 22.0, 0, 
4858, tests.freemind, NOI, 0.0, 0, 
5098, accessories.plugins.dialogs, NOMNAMM, 44.0, 0, 
5098, accessories.plugins.dialogs, NOM, 61.0, 0, 
5098, accessories.plugins.dialogs, LOC, 1275.0, 0, 
5098, accessories.plugins.dialogs, NOCS, 25.0, 0, 
5098, accessories.plugins.dialogs, NOI, 0.0, 0, 
5229, freemind.modes.mindmapmode.listeners, NOMNAMM, 27.0, 0, 
5229, freemind.modes.mindmapmode.listeners, NOM, 29.0, 0, 
5229, freemind.modes.mindmapmode.listeners, LOC, 516.0, 0, 
5229, freemind.modes.mindmapmode.listeners, NOCS, 4.0, 0, 
5229, freemind.modes.mindmapmode.listeners, NOI, 0.0, 0, 
5265, freemind.modes.mindmapmode.actions.xml, NOMNAMM, 47.0, 0, 
5265, freemind.modes.mindmapmode.actions.xml, NOM, 53.0, 0, 
5265, freemind.modes.mindmapmode.actions.xml, LOC, 439.0, 0, 
5265, freemind.modes.mindmapmode.actions.xml, NOCS, 7.0, 0, 
5265, freemind.modes.mindmapmode.actions.xml, NOI, 3.0, 0, 
5330, freemind.preferences, NOMNAMM, 2.0, 0, 
5330, freemind.preferences, NOM, 2.0, 0, 
5330, freemind.preferences, LOC, 8.0, 0, 
5330, freemind.preferences, NOCS, 0.0, 0, 
5330, freemind.preferences, NOI, 2.0, 0, 
5335, freemind.view.mindmapview.attributeview, NOMNAMM, 102.0, 0, 
5335, freemind.view.mindmapview.attributeview, NOM, 120.0, 0, 
5335, freemind.view.mindmapview.attributeview, LOC, 1212.0, 0, 
5335, freemind.view.mindmapview.attributeview, NOCS, 18.0, 0, 
5335, freemind.view.mindmapview.attributeview, NOI, 0.0, 0, 
5497, plugins.collaboration.database, NOMNAMM, 59.0, 0, 
5497, plugins.collaboration.database, NOM, 64.0, 0, 
5497, plugins.collaboration.database, LOC, 781.0, 0, 
