@relation InstanceResultListener

@attribute Key_Dataset {dataset}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.LibSVM,weka.classifiers.rules.JRip,weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model /home/umberto/Documents/WekaNose -seed 1','-F 3 -N 2.0 -O 2 -S 1','-C 0.25 -M 2'}
@attribute Key_Scheme_version_ID {14172,-6589312996832147161,-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 6\nSize of the tree: 11\n'}
@attribute measureNumRules numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric

@data

dataset,1,1,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model /home/umberto/Documents/WekaNose -seed 1',14172,20171008.1535,18,2,1,1,0,50,50,0,0,0.5,0.707107,100,141.421356,2,1074,-1072,1,537,-536,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.019,0,0.02,0,20,0,35244,16262,8630,50,50,?,?,?,?
dataset,1,2,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model /home/umberto/Documents/WekaNose -seed 1',14172,20171008.1535,18,2,1,1,0,50,50,0,0,0.5,0.707107,100,141.421356,2,1074,-1072,1,537,-536,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.004,0.001,0,0,0,0,35028,16262,8630,50,50,?,?,?,?
dataset,1,3,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model /home/umberto/Documents/WekaNose -seed 1',14172,20171008.1535,18,2,1,1,0,50,50,0,0,0.5,0.707107,100,141.421356,2,1074,-1072,1,537,-536,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.003,0.001,0.01,0,10,0,35262,16262,8630,50,50,?,?,?,?
dataset,1,4,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model /home/umberto/Documents/WekaNose -seed 1',14172,20171008.1535,18,2,1,1,0,50,50,0,0,0.5,0.707107,100,141.421356,2,1074,-1072,1,537,-536,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.003,0.001,0.01,0,10,0,35388,16262,8630,50,50,?,?,?,?
dataset,1,5,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model /home/umberto/Documents/WekaNose -seed 1',14172,20171008.1535,18,2,0,2,0,0,100,0,-1,1,1,200,200,2,2148,-2146,1,1074,-1073,-2,-1,-200,0,0,1,1,0,0,1,1,0,0,0,-1,0,0.5,0,1,0,1,0,0,0,-1,0,0.5,0,0,0.004,0,0,0,0,0,35172,16262,8630,0,50,?,?,?,?
dataset,1,6,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model /home/umberto/Documents/WekaNose -seed 1',14172,20171008.1535,18,2,1,1,0,50,50,0,0,0.5,0.707107,100,141.421356,2,1074,-1072,1,537,-536,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.003,0,0.01,0,10,0,35190,16262,8630,50,50,?,?,?,?
dataset,1,7,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model /home/umberto/Documents/WekaNose -seed 1',14172,20171008.1535,18,2,1,1,0,50,50,0,0,0.5,0.707107,100,141.421356,2,1074,-1072,1,537,-536,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.003,0,0,0,0,0,35388,16262,8630,50,50,?,?,?,?
dataset,1,8,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model /home/umberto/Documents/WekaNose -seed 1',14172,20171008.1535,18,2,1,1,0,50,50,0,0,0.5,0.707107,100,141.421356,2,1074,-1072,1,537,-536,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.003,0,0,0,0,0,34974,16262,8630,50,50,?,?,?,?
dataset,1,9,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model /home/umberto/Documents/WekaNose -seed 1',14172,20171008.1535,18,2,1,1,0,50,50,0,0,0.5,0.707107,100,141.421356,2,1074,-1072,1,537,-536,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.003,0,0,0,0,0,35298,16262,8630,50,50,?,?,?,?
