7233, JavaClassDumpper, NOM, 10.0, 7232, 
7233, JavaClassDumpper, NOMNAMM, 10.0, 7232, 
7233, JavaClassDumpper, LOC, 243.0, 7232, 
7233, JavaClassDumpper, NOA, 3.0, 7232, 
7233, JavaClassDumpper, WMCNAMM, 47.0, 7232, 
7233, JavaClassDumpper, WMC, 47.0, 7232, 
7233, JavaClassDumpper, LCOM5, 0.481481481481482, 7232, 
7233, JavaClassDumpper, LOCNAMM, 243.0, 7232, 
7233, JavaClassDumpper, AMWNAMM, 4.7, 7232, 
7233, JavaClassDumpper, NMO, 0.0, 7232, 
7233, JavaClassDumpper, NIM, 0.0, 7232, 
7233, JavaClassDumpper, AMW, 4.7, 7232, 
7233, JavaClassDumpper, CBO, 28.0, 7232, 
7233, JavaClassDumpper, CFNAMM, 16.0, 7232, 
7233, JavaClassDumpper, NOAM, 0.0, 7232, 
7233, JavaClassDumpper, DIT, 1.0, 7232, 
7233, JavaClassDumpper, NOII, 0.0, 7232, 
7233, JavaClassDumpper, TCC, 1.0, 7232, 
7233, JavaClassDumpper, WOC, 1.0, 7232, 
7233, JavaClassDumpper, RFC, 12.0, 7232, 
7233, JavaClassDumpper, NOC, 0.0, 7232, 
7233, JavaClassDumpper, NOPA, 0.0, 7232, 
7233, JavaClassDumpper, FANOUT, 1.0, 7232, 
7233, JavaClassDumpper, NOCS, 0.0, 7232, 
7233, JavaClassDumpper, ATFD, 96.0, 7232, 
7244, GrammerException, NOM, 4.0, 7232, 
7244, GrammerException, NOMNAMM, 4.0, 7232, 
7244, GrammerException, LOC, 18.0, 7232, 
7244, GrammerException, NOA, 0.0, 7232, 
7244, GrammerException, WMCNAMM, 4.0, 7232, 
7244, GrammerException, WMC, 4.0, 7232, 
7244, GrammerException, LCOM5, 0.0, 7232, 
7244, GrammerException, LOCNAMM, 18.0, 7232, 
7244, GrammerException, AMWNAMM, 1.0, 7232, 
7244, GrammerException, NMO, 0.0, 7232, 
7244, GrammerException, NIM, 15.0, 7232, 
7244, GrammerException, AMW, 1.0, 7232, 
7244, GrammerException, CBO, 1.0, 7232, 
7244, GrammerException, CFNAMM, 24.0, 7232, 
7244, GrammerException, NOAM, 0.0, 7232, 
7244, GrammerException, DIT, 4.0, 7232, 
7244, GrammerException, NOII, 0.0, 7232, 
7244, GrammerException, TCC, 1.0, 7232, 
7244, GrammerException, WOC, 1.0, 7232, 
7244, GrammerException, RFC, 9.0, 7232, 
7244, GrammerException, NOC, 0.0, 7232, 
7244, GrammerException, NOPA, 0.0, 7232, 
7244, GrammerException, FANOUT, 0.0, 7232, 
