@relation InstanceResultListener

@attribute Key_Dataset {dataset}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.rules.JRip,weka.classifiers.trees.RandomForest,weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'-F 3 -N 2.0 -O 2 -S 1','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-C 0.25 -M 2'}
@attribute Key_Scheme_version_ID {-6589312996832147161,1116839470751428698,-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 6\nSize of the tree: 11\n'}
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric

@data

dataset,1,1,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171008.1255,18,2,1,1,0,50,50,0,0,0.5,0.583095,100,116.619038,2,2.643856,-0.643856,1,1.321928,-0.321928,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.016,0,0.015625,0,15.625,0,12965,16262,8630,100,100,?,2,?,?,?
dataset,1,2,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171008.1255,18,2,1,1,0,50,50,0,0,0.5,0.5,100,100,2,2,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.015,0,0.015625,0,15.625,0,12547,16262,8630,100,100,?,1,?,?,?
dataset,1,3,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171008.1255,18,2,1,1,0,50,50,0,0,0.5,0.707107,100,141.421356,2,1074,-1072,1,537,-536,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0,0,0,0,0,0,13034,16262,8630,50,50,?,2,?,?,?
dataset,1,4,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171008.1255,18,2,1,1,0,50,50,0,0,0.5,0.5,100,100,2,2,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.016,0,0.015625,0,15.625,0,12547,16262,8630,100,100,?,1,?,?,?
dataset,1,5,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171008.1255,18,2,0,2,0,0,100,0,-1,0.8375,0.838339,167.5,167.667826,2,5.321928,-3.321928,1,2.660964,-1.660964,-1.485427,-0.742713,-148.542683,0,0,1,1,0,0,1,1,0,0,0,-1,0,0.5,0,1,0,1,0,0,0,-1,0,0.5,0,0,0.015,0,0.015625,0,15.625,0,12965,16262,8630,100,100,?,2,?,?,?
dataset,1,6,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171008.1255,18,2,1,1,0,50,50,0,0,0.5,0.583095,100,116.619038,2,2.643856,-0.643856,1,1.321928,-0.321928,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0,0,0,0,0,0,12964,16262,8630,100,100,?,2,?,?,?
dataset,1,7,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171008.1255,18,2,2,0,0,100,0,0,1,0.207792,0.217702,41.558442,43.540402,2,0.681824,1.318176,1,0.340912,0.659088,1.318176,0.659088,131.817596,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.016,0,0.015625,0,15.625,0,12963,16262,8630,100,100,?,2,?,?,?
dataset,1,8,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171008.1255,18,2,1,1,0,50,50,0,0,0.5,0.707107,100,141.421356,2,1074,-1072,1,537,-536,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.016,0,0.015625,0,15.625,0,12965,16262,8630,50,50,?,2,?,?,?
dataset,1,9,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171008.1255,18,2,2,0,0,100,0,0,1,0.207792,0.217702,41.558442,43.540402,2,0.681824,1.318176,1,0.340912,0.659088,1.318176,0.659088,131.817596,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,12963,16262,8630,100,100,?,2,?,?,?
dataset,1,10,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171008.1255,18,2,1,1,0,50,50,0,0,0.5,0.583095,100,116.619038,2,2.643856,-0.643856,1,1.321928,-0.321928,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.015,0,0.015625,0,15.625,0,12964,16262,8630,100,100,?,2,?,?,?
dataset,2,1,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171008.1255,18,2,2,0,0,100,0,0,1,0.207792,0.217702,41.558442,43.540402,2,0.681824,1.318176,1,0.340912,0.659088,1.318176,0.659088,131.817596,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,12964,16262,8630,100,100,?,2,?,?,?
dataset,2,2,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171008.1255,18,2,2,0,0,100,0,0,1,0.071429,0.101015,14.285714,20.203051,2,0.222392,1.777608,1,0.111196,0.888804,1.777608,0.888804,177.760758,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,13185,16262,8630,100,75,?,3,?,?,?
dataset,2,3,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171008.1255,18,2,1,1,0,50,50,0,0,0.5,0.549229,100,109.845872,2,2.333901,-0.333901,1,1.16695,-0.16695,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0,0,0,0,0,0,12964,16262,8630,100,100,?,2,?,?,?
dataset,2,4,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171008.1255,18,2,2,0,0,100,0,0,1,0.207792,0.217702,41.558442,43.540402,2,0.681824,1.318176,1,0.340912,0.659088,1.318176,0.659088,131.817596,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,12964,16262,8630,100,100,?,2,?,?,?
dataset,2,5,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171008.1255,18,2,1,1,0,50,50,0,0,0.5,0.583095,100,116.619038,2,2.643856,-0.643856,1,1.321928,-0.321928,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0,0,0,0,0,0,12965,16262,8630,100,100,?,2,?,?,?
dataset,2,6,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171008.1255,18,2,0,2,0,0,100,0,-1,0.8375,0.838339,167.5,167.667826,2,5.321928,-3.321928,1,2.660964,-1.660964,-1.485427,-0.742713,-148.542683,0,0,1,1,0,0,1,1,0,0,0,-1,0,0.5,0,1,0,1,0,0,0,-1,0,0.5,0,0,0,0,0,0,0,0,12964,16262,8630,100,100,?,2,?,?,?
dataset,2,7,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171008.1255,18,2,1,1,0,50,50,0,0,0.5,0.707107,100,141.421356,2,1074,-1072,1,537,-536,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0,0,0,0,0,0,12965,16262,8630,50,50,?,2,?,?,?
dataset,2,8,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171008.1255,18,2,1,1,0,50,50,0,0,0.5,0.571979,100,114.39589,2,2.532495,-0.532495,1,1.266248,-0.266248,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0,0,0,0,0,0,12963,16262,8630,100,100,?,2,?,?,?
