2, CompoundActionHandler, NOM, 4.0, 1, 
2, CompoundActionHandler, NOMNAMM, 4.0, 1, 
2, CompoundActionHandler, LOC, 38.0, 1, 
2, CompoundActionHandler, NOA, 1.0, 1, 
2, CompoundActionHandler, WMCNAMM, 6.0, 1, 
2, CompoundActionHandler, WMC, 6.0, 1, 
2, CompoundActionHandler, LCOM5, 1.0, 1, 
2, CompoundActionHandler, LOCNAMM, 38.0, 1, 
2, CompoundActionHandler, AMWNAMM, 1.5, 1, 
2, CompoundActionHandler, NMO, 0.0, 1, 
2, CompoundActionHandler, NIM, 15.0, 1, 
2, CompoundActionHandler, AMW, 1.5, 1, 
2, CompoundActionHandler, CBO, 3.0, 1, 
2, CompoundActionHandler, CFNAMM, 25.0, 1, 
2, CompoundActionHandler, NOAM, 0.0, 1, 
2, CompoundActionHandler, DIT, 2.0, 1, 
2, CompoundActionHandler, NOII, 1.0, 1, 
2, CompoundActionHandler, TCC, 0.0, 1, 
2, CompoundActionHandler, WOC, 1.0, 1, 
2, CompoundActionHandler, RFC, 8.0, 1, 
2, CompoundActionHandler, NOC, 0.0, 1, 
2, CompoundActionHandler, NOPA, 0.0, 1, 
2, CompoundActionHandler, FANOUT, 2.0, 1, 
2, CompoundActionHandler, NOCS, 0.0, 1, 
2, CompoundActionHandler, ATFD, 1.0, 1, 
7, DeleteChildAction, NOM, 7.0, 1, 
7, DeleteChildAction, NOMNAMM, 7.0, 1, 
7, DeleteChildAction, LOC, 99.0, 1, 
7, DeleteChildAction, NOA, 2.0, 1, 
7, DeleteChildAction, WMCNAMM, 12.0, 1, 
7, DeleteChildAction, WMC, 12.0, 1, 
7, DeleteChildAction, LCOM5, 0.75, 1, 
7, DeleteChildAction, LOCNAMM, 99.0, 1, 
7, DeleteChildAction, AMWNAMM, 1.71428571428571, 1, 
7, DeleteChildAction, NMO, 0.0, 1, 
7, DeleteChildAction, NIM, 15.0, 1, 
7, DeleteChildAction, AMW, 1.71428571428571, 1, 
7, DeleteChildAction, CBO, 15.0, 1, 
7, DeleteChildAction, CFNAMM, 354.0, 1, 
7, DeleteChildAction, NOAM, 0.0, 1, 
7, DeleteChildAction, DIT, 2.0, 1, 
7, DeleteChildAction, NOII, 1.0, 1, 
7, DeleteChildAction, TCC, 0.4, 1, 
7, DeleteChildAction, WOC, 1.0, 1, 
7, DeleteChildAction, RFC, 43.0, 1, 
7, DeleteChildAction, NOC, 0.0, 1, 
7, DeleteChildAction, NOPA, 0.0, 1, 
7, DeleteChildAction, FANOUT, 13.0, 1, 
7, DeleteChildAction, NOCS, 0.0, 1, 
7, DeleteChildAction, ATFD, 6.0, 1, 
15, CopyAction, NOM, 2.0, 1, 
15, CopyAction, NOMNAMM, 2.0, 1, 
15, CopyAction, LOC, 19.0, 1, 
15, CopyAction, NOA, 1.0, 1, 
15, CopyAction, WMCNAMM, 4.0, 1, 
15, CopyAction, WMC, 4.0, 1, 
15, CopyAction, LCOM5, 1.0, 1, 
15, CopyAction, LOCNAMM, 19.0, 1, 
15, CopyAction, AMWNAMM, 2.0, 1, 
15, CopyAction, NMO, 0.0, 1, 
15, CopyAction, NIM, 15.0, 1, 
15, CopyAction, AMW, 2.0, 1, 
15, CopyAction, CBO, 2.0, 1, 
15, CopyAction, CFNAMM, 16.0, 1, 
15, CopyAction, NOAM, 0.0, 1, 
15, CopyAction, DIT, 2.0, 1, 
15, CopyAction, NOII, 0.0, 1, 
15, CopyAction, TCC, 1.0, 1, 
15, CopyAction, WOC, 1.0, 1, 
15, CopyAction, RFC, 7.0, 1, 
15, CopyAction, NOC, 0.0, 1, 
15, CopyAction, NOPA, 0.0, 1, 
15, CopyAction, FANOUT, 2.0, 1, 
15, CopyAction, NOCS, 0.0, 1, 
15, CopyAction, ATFD, 3.0, 1, 
18, EdgeColorAction, NOM, 6.0, 1, 
18, EdgeColorAction, NOMNAMM, 5.0, 1, 
18, EdgeColorAction, LOC, 64.0, 1, 
18, EdgeColorAction, NOA, 1.0, 1, 
18, EdgeColorAction, WMCNAMM, 10.0, 1, 
18, EdgeColorAction, WMC, 11.0, 1, 
18, EdgeColorAction, LCOM5, 0.4, 1, 
18, EdgeColorAction, LOCNAMM, 54.0, 1, 
18, EdgeColorAction, AMWNAMM, 2.0, 1, 
18, EdgeColorAction, NMO, 0.0, 1, 
18, EdgeColorAction, NIM, 15.0, 1, 
18, EdgeColorAction, AMW, 1.83333333333333, 1, 
18, EdgeColorAction, CBO, 13.0, 1, 
18, EdgeColorAction, CFNAMM, 232.0, 1, 
18, EdgeColorAction, NOAM, 1.0, 1, 
18, EdgeColorAction, DIT, 2.0, 1, 
18, EdgeColorAction, NOII, 1.0, 1, 
18, EdgeColorAction, TCC, 0.6, 1, 
18, EdgeColorAction, WOC, 0.833333333333333, 1, 
18, EdgeColorAction, RFC, 28.0, 1, 
18, EdgeColorAction, NOC, 0.0, 1, 
18, EdgeColorAction, NOPA, 0.0, 1, 
18, EdgeColorAction, FANOUT, 11.0, 1, 
18, EdgeColorAction, NOCS, 0.0, 1, 
18, EdgeColorAction, ATFD, 2.0, 1, 
25, SetLinkByTextFieldAction, NOM, 7.0, 1, 
25, SetLinkByTextFieldAction, NOMNAMM, 6.0, 1, 
25, SetLinkByTextFieldAction, LOC, 53.0, 1, 
25, SetLinkByTextFieldAction, NOA, 1.0, 1, 
25, SetLinkByTextFieldAction, WMCNAMM, 9.0, 1, 
25, SetLinkByTextFieldAction, WMC, 10.0, 1, 
25, SetLinkByTextFieldAction, LCOM5, 0.5, 1, 
25, SetLinkByTextFieldAction, LOCNAMM, 43.0, 1, 
25, SetLinkByTextFieldAction, AMWNAMM, 1.5, 1, 
25, SetLinkByTextFieldAction, NMO, 0.0, 1, 
25, SetLinkByTextFieldAction, NIM, 17.0, 1, 
25, SetLinkByTextFieldAction, AMW, 1.42857142857143, 1, 
25, SetLinkByTextFieldAction, CBO, 9.0, 1, 
25, SetLinkByTextFieldAction, CFNAMM, 172.0, 1, 
25, SetLinkByTextFieldAction, NOAM, 1.0, 1, 
25, SetLinkByTextFieldAction, DIT, 3.0, 1, 
25, SetLinkByTextFieldAction, NOII, 1.0, 1, 
25, SetLinkByTextFieldAction, TCC, 0.5, 1, 
25, SetLinkByTextFieldAction, WOC, 0.8, 1, 
25, SetLinkByTextFieldAction, RFC, 26.0, 1, 
25, SetLinkByTextFieldAction, NOC, 0.0, 1, 
25, SetLinkByTextFieldAction, NOPA, 0.0, 1, 
25, SetLinkByTextFieldAction, FANOUT, 7.0, 1, 
25, SetLinkByTextFieldAction, NOCS, 0.0, 1, 
25, SetLinkByTextFieldAction, ATFD, 2.0, 1, 
33, UsePlainTextAction, NOM, 1.0, 1, 
33, UsePlainTextAction, NOMNAMM, 1.0, 1, 
33, UsePlainTextAction, LOC, 38.0, 1, 
33, UsePlainTextAction, NOA, 0.0, 1, 
33, UsePlainTextAction, WMCNAMM, 1.0, 1, 
33, UsePlainTextAction, WMC, 1.0, 1, 
33, UsePlainTextAction, LCOM5, 0.0, 1, 
33, UsePlainTextAction, LOCNAMM, 38.0, 1, 
